上滑	shanghua
下滑	xiahua
返回	fanhui
主页	zhuye
鼠标	shubiao
关闭鼠标	guanbishubiao
编号	bianhao
网格	wangge
取消	quxiao
暂停控制	zantingkongzhi
恢复控制	huifukongzhi
小空	xiaokong
你好小空	nihaoxiaokong
显示编号	xianshibianhao
显示按钮	xianshianniu
屏幕分区	pingmufenqu
分区选择	fenquxuanze
你好助手	nihaozhushou
小空小空	xiaokongxiaokong
按钮	anniu
开启手势	kaiqishoushi
打开手势	dakaishoushi
关闭手势	guanbishoushi
向上滑动	xiangshanghuadong
向下滑动	xiangxiahuadong
左滑	zuohua
向左滑动	xiangzuohuadong
右滑	youhua
向右滑动	xiangyouhuadong
返回上一页	fanhuishangyiye
回到桌面	huidaozhuomian
返回桌面	fanhuizhuomian
桌面	zhuomian
最近任务	zuijinrenwu
取消选择	quxiaoxuanze
